pair,i,j,c_ij,model,SSE1,SSE2,SSE3,ok2,ok3
1802,18,2,38,1,.002670885249803,,,0,0
1803,18,3,38,1,.0004640567092416,,,0,0
1804,18,4,38,1,.0010607331129708,,,0,0
1805,18,5,38,1,.0006466469404241,,,0,0
1806,18,6,38,1,.000361153611588,,,0,0
1807,18,7,38,1,.0008705029088435,,,0,0
1808,18,8,38,1,.0004980632577205,,,0,0
1809,18,9,38,1,.0005485806465893,,,0,0
1810,18,10,38,1,.0005603229008619,,,0,0
1811,18,11,38,1,.0025078443983005,,,0,0
1812,18,12,38,1,.0036570581767876,,,0,0
1813,18,13,38,1,.007407439953265,,,0,0
1814,18,14,38,1,.0046043698183493,,,0,0
1815,18,15,38,1,.0059690918753346,,,0,0
1816,18,16,38,1,.0042882114555415,,,0,0
1817,18,17,38,1,.0064496830470565,,,0,0
1818,18,18,38,1,.0027127479081073,,,0,0
